"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","GPS Speed dup 1","Altitude","GPS LateralAcc","GPS InlineAcc","GPS Yaw Rate","Luminosity","Max Voltage 1","Min Voltage 1","Reverse","D4 Gate Driver B","D3 Module C","D2 Module B","D1 Module A","D4 RTD3 Temperat","D3 RTD2 Temperat","D2 RTD1 Temperat","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 RTD5 Temperat","D1 RTD4 Temperat","D4 Analog Input","D2 Analog Input","D6 Analog Input","D3 Analog Input","D1 Analog Input","D5 Analog Input","D5 Digital Input","D2 Digital Input","D1 Digital Input","D6 Digital Input","D4 Digital Input","D3 Digital Input","D7 Digital Input","D8 Digital Input","D4 Delta Resolve","D3 Electrical Ou","D2 Motor Speed","D1 Motor Angle E","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D4 Reference Vol","D3 Reference Vol","D2 Reference Vol","D1 Reference Vol","D7 Direction Com","D6 Inverter Enab","D3 Relay 1 Statu","D7 BMS Active","D7 BMS Torque Li","D7 Max Speed Lim","D7 Low Speed Lim","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","D3 Id Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Inverter Enable","Direction Comman","Torque Command","Inverter Dischar","Torque Limit Com","SEG1OV","SEG1UV","SEG1OT","SEG1UT","SEG2OV","SEG2UT","SEG2UV","SEG2OT","SEG3OV","SEG3UV","SEG3OT","SEG3UT","SEG4OV","SEG4UV","SEG4OT","SEG4UT","SEG5OV","SEG5UV","SEG5OT","SEG5UT","SEG6OV","SEG6UV","SEG6OT","SEG6UT","Current","Voltage","RDTActive","Buzzer","D3 HV Input Curr","TSAL Active","BrakeSensor1","BrakeSensor2","APPS1","APPS2","Max Voltage 001","Min Voltage 001","AVG Voltage 001","Max Temperature","Min Temperature","Avg Temperature","Max Location 01","Min Location 01","Pack Voltage","Pack Current","Pack Current 01","Pack Inst Voltag","Average Temperat","High Temperature","Low Temperature","High Cell Voltag","Low Cell Voltage","Maximum Pack Vol","Minimum Cell Vol","Maximum Cell Vol"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","km/h","m","g","g","deg/s","%","mV","mV","#","#","#","#","#","°C","°C","°C","#","#","°C","°C","°C","#","#","#","#","#","#","#","#","#","#","#","#","#","#","deg","Hz","rpm","deg","A","A","A","A","mV","mV","mV","mV","A","A","#","#","mV","mV","mV","mV","#","#","#","#","#","#","#","Nm","Nm","A","A","Nm","Nm","rpm","mV","#","#","Nm","#","Nm","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","A","mV","#","#","#","#","bar","bar","%","%","mV","mV","mV","°C","°C","°C","#","#","#","#","A","mV","°C","°C","°C","mV","mV","mV","mV","mV"

"0.800","3.6142","8","-0.0855","0.0114","-68.6751","-42.8126","0.0000","347.0004","200.0000","0.4903","10000.0000","40.86304740","-77.83456644","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","112.2500","4225.4497","3956.1394","1.0000","26.1794","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3206","0.0000","26.3000","-1000.0000","-1000.0000","4.8681","2.0400","4.8900","4.8700","4.8519","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.3000","0.0000","-0.1706","0.1941","0.0529","-0.8647","-0.4647","0.0000","53.2588","0.0667","0.0167","-18.5420","0.0340","11.5761","5.0320","2.5120","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0333","0.0000","0.0000","0.0000","0.0000","0.0000","54.0581","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.3295","3225.4497","2956.1946","3191.0947","40.8303","28.0200","19.9700","37.0339","10.0000","9.8081","0.1769","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.850","3.5834","8","-0.0512","-0.0109","-68.9272","-54.3642","0.0000","344.7791","200.0000","0.4618","10000.0000","40.86306285","-77.83457201","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","112.2500","4225.4497","3956.1353","1.0000","26.1844","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3156","0.0000","26.3000","-1000.0000","-1000.0000","4.8700","2.0400","4.8870","4.8670","4.8530","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.3314","0.0000","-0.2882","-0.1569","-0.2510","-0.6176","-0.2804","0.0000","79.5412","0.1618","-0.4206","-18.5420","0.0340","11.5746","5.0315","2.5115","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0971","0.0000","0.0000","0.0000","-0.0172","0.0000","81.3011","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.3130","3225.4497","2956.1870","3191.0872","40.8308","28.0200","19.9700","37.0837","10.0000","17.3054","0.1725","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.900","3.5484","8","-0.0080","-0.0343","-69.2223","-66.4018","0.0000","342.6691","200.0000","0.4318","10000.0000","40.86307762","-77.83457701","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","112.2500","4225.4497","3956.1311","1.0000","26.1894","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3106","0.0000","26.3000","-1000.0000","-1000.0000","4.8700","2.0400","4.8821","4.8621","4.8579","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.3804","0.0000","-0.5824","-0.4020","-0.6431","-0.1765","0.0627","0.0000","103.5118","0.4069","-1.0578","-18.5420","0.0340","11.5731","5.0310","2.5110","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2441","0.0000","0.0000","0.0000","-0.0710","0.0000","104.7419","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.3223","3225.4497","2956.1794","3191.0796","40.8313","28.0200","19.9700","37.1336","10.0000","24.8026","0.1680","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.950","3.4223","8","-0.0009","-0.0439","-72.9584","-64.7896","0.0000","341.7463","200.0000","0.4159","10000.0000","40.86308566","-77.83457872","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","112.2083","4225.4497","3956.1270","1.0000","26.1944","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3056","0.0000","26.3000","-1000.0000","-1000.0000","4.8700","2.0400","4.8828","4.8628","4.8572","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3706","0.0000","0.0000","177.4000","0.0000","-0.3471","-0.2353","-0.5353","0.0882","-0.0647","0.0000","124.7471","0.1961","-0.7529","-18.5420","0.0340","11.5716","5.0305","2.5105","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1176","0.0000","0.0000","0.0000","-0.1495","0.0000","126.0312","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.3373","3225.4497","2956.1721","3191.0723","40.8318","28.0200","19.9700","37.1834","10.0000","32.2999","0.1635","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.000","3.2904","8","0.0039","-0.0525","-76.9142","-62.3062","0.0000","340.8994","200.0000","0.4009","10000.0000","40.86309327","-77.83458022","24.3906","11.3920","0.0000","0.0000","0.0000","0.0000","0.0000","112.1562","4225.4497","3956.1228","1.0000","26.1994","23.9000","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3006","0.0000","26.3000","-1000.0000","-1000.0000","4.8700","2.0400","4.8877","4.8677","4.8523","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3216","0.0000","0.0000","177.4000","0.0000","0.2412","0.2059","-0.0941","0.2353","-0.5059","0.0000","144.1588","-0.2941","0.1294","-18.5420","0.0340","11.5701","5.0300","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1765","0.0000","0.0000","0.0000","-0.2570","0.0000","144.7946","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8278","1.3278","3225.4497","2956.1646","3191.0647","40.8323","28.0200","19.9700","37.2333","10.0000","39.7972","0.1590","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.050","3.1129","8","0.0231","-0.0498","-75.9392","-43.0889","0.0000","339.7287","200.0000","0.3953","10000.0000","40.86310004","-77.83457863","24.3906","11.3907","0.0000","0.0000","0.0000","0.0000","0.0000","112.1146","4225.4497","3956.1187","1.0000","26.2000","23.9044","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3044","0.0000","26.2956","-1000.0000","-1000.0000","4.8700","2.0400","4.8873","4.8673","4.8527","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.3726","0.0000","0.3627","0.3176","0.1824","0.3000","-0.5353","0.0000","161.2373","-0.3578","0.5000","-18.5420","0.0340","11.5696","5.0304","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.2147","0.0000","0.0000","0.0000","-0.1387","0.0000","161.6548","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8130","1.3130","3225.4497","2956.1572","3191.0571","40.8328","28.0200","19.9700","37.2831","10.0000","47.2944","0.1545","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.100","2.9324","8","0.0433","-0.0464","-74.6495","-22.8036","0.0000","338.5373","200.0000","0.3903","10000.0000","40.86310676","-77.83457683","24.3906","11.3873","0.0000","0.0000","0.0000","0.0000","0.0000","112.0885","4225.4497","3956.1145","1.0000","26.2000","23.9094","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3094","0.0000","26.2906","-1000.0000","-1000.0000","4.8700","2.0400","4.8824","4.8624","4.8576","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.3235","0.0000","0.1176","0.1706","0.3294","0.3000","-0.2412","0.0000","176.4824","-0.1127","0.5000","-18.5420","0.0340","11.5691","5.0309","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0676","0.0000","0.0000","0.0000","0.1301","0.0000","177.2462","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7940","1.3220","3225.4497","2956.1497","3191.0498","40.8333","28.0200","19.9700","37.3330","10.0000","54.7917","0.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.150","2.8593","8","0.0461","-0.0449","-76.7835","-15.0816","0.0000","337.9186","200.0000","0.3806","10000.0000","40.86311104","-77.83457529","24.3906","11.3840","0.0000","0.0000","0.0000","0.0000","0.0000","112.0625","4225.4497","3956.1104","1.0000","26.2000","23.9144","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3144","0.0000","26.2856","-1000.0000","-1000.0000","4.8700","2.0400","4.8800","4.8600","4.8625","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.3255","0.0000","0.2039","0.3039","0.4000","0.2490","-0.3294","0.0000","190.0196","-0.2118","0.6324","-18.5420","0.0340","11.5686","5.0314","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0794","0.0000","0.0000","0.0000","0.0806","0.0000","190.3710","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7740","1.3370","3225.4497","2956.1421","3191.0422","40.8338","28.0200","19.9700","37.3829","10.0000","62.2889","0.1455","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.200","2.7930","8","0.0478","-0.0434","-79.1361","-8.1616","0.0000","337.3364","200.0000","0.3706","10000.0000","40.86311516","-77.83457376","24.3906","11.3840","0.0000","0.0000","0.0000","0.0000","0.0000","112.1406","4225.4497","3956.1062","1.0000","26.2000","23.9194","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3194","0.0000","26.2806","-1000.0000","-1000.0000","4.8700","2.0400","4.8800","4.8600","4.8674","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.3745","0.0000","0.5961","0.6961","0.4000","0.1510","-0.7706","0.0000","201.9804","-0.6039","0.8775","-18.5420","0.0340","11.5681","5.0319","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.2265","0.0000","0.0000","0.0000","-0.0806","0.0000","202.6290","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7581","1.3400","3225.4497","2956.1348","3191.0347","40.8343","28.0200","19.9700","37.4327","10.0000","69.7862","0.1410","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.250","2.9362","8","0.0477","-0.0369","-77.3535","-14.2121","0.0000","336.3466","200.0000","0.3653","10000.0000","40.86311982","-77.83457260","24.3906","11.3840","0.0000","0.0000","0.0000","0.0000","0.0000","112.2188","4225.4497","3956.1021","1.0000","26.2000","23.9244","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3244","0.0000","26.2757","-1000.0000","-1000.0000","4.8700","2.0400","4.8823","4.8623","4.8677","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.4000","0.0000","0.6118","0.5706","0.1882","-0.0882","-0.7647","0.0000","212.6471","-0.6039","0.6078","-18.5420","0.0340","11.5676","5.0324","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.2265","0.0000","0.0000","0.0000","-0.1000","0.0000","212.8527","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7433","1.3400","3225.4497","2956.1272","3191.0273","40.8348","28.0200","19.9700","37.4826","10.0000","77.2834","0.1365","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.300","3.0929","8","0.0475","-0.0299","-75.3069","-21.0905","0.0000","335.3307","200.0000","0.3603","10000.0000","40.86312452","-77.83457146","24.3906","11.3840","0.0000","0.0000","0.0000","0.0000","0.0000","112.2969","4225.4497","3956.0979","1.0000","26.2000","23.9293","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3293","0.0000","26.2707","-1000.0000","-1000.0000","4.8700","2.0400","4.8872","4.8672","4.8628","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3000","0.0000","0.0000","177.4000","0.0000","0.2196","-0.1157","-0.2529","-0.4804","-0.2745","0.0000","221.9118","-0.2118","-0.1765","-18.5420","0.0340","11.5671","5.0329","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0794","0.0000","0.0000","0.0000","-0.1000","0.0000","222.7602","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7517","1.3127","3225.4497","2956.1196","3191.0198","40.8353","28.0200","19.9700","37.5324","10.0000","84.7807","0.1321","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.350","2.9524","8","0.0242","-0.0273","-71.3811","-14.6357","0.0000","335.8340","200.0000","0.3553","10000.0000","40.86312248","-77.83456613","24.3906","11.3840","0.0000","0.0000","0.0000","0.0000","0.0000","112.3750","4225.4497","3956.0938","1.0000","26.2000","23.9343","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3343","0.0000","26.2657","-1000.0000","-1000.0000","4.8700","2.0400","4.8900","4.8700","4.8600","4.8721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3216","0.0000","0.0000","177.4216","0.0000","0.0431","-0.3275","-0.3275","-0.4843","-0.1510","0.0000","230.4863","-0.0451","-0.3520","-18.5420","0.0340","11.5666","5.0334","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0225","0.0000","0.0000","0.0000","-0.1000","0.0000","230.7710","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7667","1.2777","3225.4497","2956.1123","3191.0122","40.8358","28.0200","19.9700","37.5823","10.0000","92.2780","0.1276","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.400","2.7930","8","-0.0005","-0.0249","-67.3354","-7.3298","0.0000","336.4343","200.0000","0.3503","10000.0000","40.86312000","-77.83456053","24.3919","11.3833","0.0000","0.0000","0.0000","0.0000","0.0000","112.4531","4225.4497","3956.0896","1.0000","26.2000","23.9393","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3393","0.0000","26.2607","-1000.0000","-1000.0000","4.8700","2.0400","4.8900","4.8700","4.8600","4.8770","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.3706","0.0000","0.0000","177.4706","0.0000","0.1412","0.0647","0.0647","0.0059","-0.4941","0.0000","238.1824","-0.1431","0.1873","-18.5420","0.0340","11.5661","5.0339","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0716","0.0000","0.0000","0.0000","-0.1000","0.0000","238.5925","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7700","1.2973","3225.4497","2956.1047","3191.0049","40.8363","28.0200","19.9700","37.6321","10.0000","99.7752","0.1231","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.450","2.6235","8","-0.0138","-0.0310","-69.3490","-24.9826","0.0000","336.9708","200.0000","0.3406","10000.0000","40.86311752","-77.83455704","24.3984","11.3800","0.0000","0.0000","0.0000","0.0000","0.0000","112.5312","4225.4497","3956.0854","1.0000","26.2000","23.9443","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3443","0.0000","26.2557","-1000.0000","-1000.0000","4.8700","2.0400","4.8900","4.8700","4.8600","4.8781","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.5196","0.0000","0.1608","0.2412","0.2608","0.2608","-0.6216","0.0000","245.0941","-0.1588","0.3971","-18.5420","0.0340","11.5656","5.0344","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0794","0.0000","0.0000","0.0000","-0.1000","0.0000","245.4204","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7700","1.3323","3225.4497","2956.0974","3190.9973","40.8368","28.0200","19.9700","37.6820","10.0000","107.2725","0.1186","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"1.500","2.4534","8","-0.0263","-0.0376","-71.7494","-44.2286","0.0000","337.5032","200.0000","0.3306","10000.0000","40.86311504","-77.83455367","24.4049","11.3767","0.0000","0.0000","0.0000","0.0000","0.0000","112.6094","4225.4497","3956.0813","1.0000","26.2000","23.9493","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.3493","0.0000","26.2507","-1000.0000","-1000.0000","4.8700","2.0400","4.8900","4.8700","4.8600","4.8732","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-177.4000","0.0000","0.0000","177.5686","0.0000","0.0627","0.0941","0.1627","0.1627","-0.4255","0.0000","250.8294","-0.0608","0.1520","-18.5420","0.0340","11.5651","5.0349","2.5100","1.5100","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0304","0.0000","0.0000","0.0000","-0.1323","0.0000","251.6516","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7871","1.3271","3225.4497","2956.0898","3190.9897","40.8373","28.0200","19.9700","37.7318","10.0000","114.7697","0.1141","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
